종목코드,재무제표종류,유동자산_2023,유동자산_2022,유동자산_2021,유동부채_2023,유동부채_2022,유동부채_2021,부채총계_2023,부채총계_2022,부채총계_2021,자본총계_2023,자본총계_2022,자본총계_2021,매출액_2023,매출액_2022,매출액_2021,영업이익_2023,영업이익_2022,영업이익_2021,당기순이익_2023,당기순이익_2022,당기순이익_2021
001460,CFS,113987958313.0,120182142295.0,133338983564.0,51122092069.0,79177003824.0,130677556899.0,150742490158.0,153134740019.0,202622247604.0,534920570167.0,515737286382.0,481812264546.0,168401523886.0,169680336869.0,164445893789.0,27498394275.0,25326353051.0,26711346464.0,23666593032.0,35286502037.0,29855489397.0
001465,,,,,,,,,,,,,,,,,,,,,,
001470,CFS,414655102235.0,381646065800.0,413154215142.0,360355795174.0,249462038187.0,253806537896.0,411614796994.0,307702229840.0,312924661168.0,102127653423.0,191024563687.0,205209638551.0,574975687073.0,436292508722.0,357047939605.0,-78151994195.0,-80783233662.0,-4353122537.0,-111007774067.0,-89346889585.0,-2512440828.0
001500,CFS,,,,,,,10307455311005.0,9008412020030.0,7645418438546.0,1277801535735.0,1224643053695.0,1160709272657.0,1582196918963.0,1186028329210.0,853770440337.0,,,,53511195192.0,87101251163.0,117749158810.0
001510,CFS,,,,,,,5801855293366.0,5823507502950.0,5752726008932.0,647238478234.0,641333326971.0,618676191773.0,,,,,,,3187786850.0,8609210017.0,41431656266.0
001515,,,,,,,,,,,,,,,,,,,,,,
001520,CFS,473081782926.0,393101021243.0,413725955400.0,280122056642.0,176610018139.0,186917534361.0,311407795194.0,200018245461.0,223240278186.0,788242192402.0,783531995337.0,783993331767.0,866327008521.0,767681537593.0,699569458171.0,26548625914.0,7924864990.0,7617953056.0,18191365663.0,9954374483.0,11246410605.0
001525,,,,,,,,,,,,,,,,,,,,,,
001527,,,,,,,,,,,,,,,,,,,,,,
001530,CFS,307955941619.0,335150513358.0,348005530391.0,290898144472.0,269797532529.0,305051437236.0,370119040311.0,378689103701.0,418166649986.0,605534194418.0,619195795350.0,573505489754.0,682872127202.0,829928717131.0,758072537827.0,6304538045.0,44754402506.0,48592979653.0,5995805541.0,57491368300.0,46334631668.0
