종목코드,업종명
423170,
423920,
424460,
426020,
426030,
426150,
427120,
428510,
428560,
429000,
429010,
429740,
429760,
429980,
430500,
432320,28부동산
432600,
432840,
433220,
433250,
433330,
433500,
433880,
433970,
433980,
434060,
434730,
434960,
435040,
435420,
435530,
435540,
435550,
436140,
437070,
437080,
437350,
437370,
438080,
438100,
438320,
438330,
438560,
438570,
438740,
438900,
439260,15운송장비·부품
439860,
439870,
440340,
440640,
440650,
440910,
441540,
441640,
441680,
441800,
442090,
442260,
442320,
442550,
442560,
442570,
442580,
443060,26일반서비스
444200,
444490,
445150,
445290,
445690,
445910,
446070,07종이·목재
446690,
446700,
446720,
446770,
447430,
447620,
447660,
447770,
448100,
448290,
448300,
448330,
448490,
448540,
448570,
448630,
448730,28부동산
449170,
449180,
449190,
449450,
449580,
449680,
449690,
449770,
449780,
450080,13전기·전자
450180,
450190,
450910,
451000,
451060,
451150,
451530,
451540,
451600,
451670,
451800,28부동산
452250,
452260,16유통
45226K,16유통
452360,
453010,
453060,
453080,
453330,
453340,16유통
453630,
453640,
453650,
453660,
453810,
453820,
453850,
453870,
453950,
454180,
454320,
454780,
454910,12기계·장비
455030,
455660,
455850,
455860,
455890,
455960,
456040,08화학
456200,
456250,
456600,
456610,
456680,
456880,
457190,08화학
457480,
457690,
457700,
457930,
457990,
458030,
458210,
458250,
458260,
458730,
458750,
458760,
459560,
459580,
459750,
459790,
460270,
460660,
460850,11금속
460860,11금속
460960,
461340,
461450,
461460,
461490,
461500,
461580,
461600,
461900,
461910,
461950,
462010,
462330,
462340,
462520,10비금속
462870,29IT 서비스
462900,
463050,
463250,
463290,
463300,
463640,
463680,
463690,
464240,
464310,
464470,
464600,
464610,
464920,
464930,
465330,
465350,
465580,
465610,
465620,
465660,
465670,
465770,19운송·창고
465780,
466810,
466920,
466930,
466940,
466950,
468370,
468380,
468630,
469050,
469060,
469070,
469150,
469160,
469170,
469530,
469790,
469830,
470310,
471040,
471230,
471460,
471760,
471780,
471990,
472150,
472160,
472170,
472720,
472830,
472840,
472870,
472920,
473290,
473330,
473440,
473460,
473490,
473590,
473640,
474220,
474390,
474590,
474800,
474920,
475050,
475070,
475080,
475150,18건설
475260,
475270,
475280,
475300,
475310,
475350,
475380,
475560,16유통
475630,
475720,
476000,
476030,
476070,
476260,
476310,
476450,
476550,
476690,
476750,
476760,
476800,
476850,
477050,
477080,
477490,
477730,
478150,
479080,
479520,
479620,
479730,
479850,
480020,
480030,
480040,
480260,
480310,
480370,12기계·장비
480460,
481050,
481060,
481180,
481190,
481340,
481430,
481850,21금융
482030,
482730,
483020,
483030,
483280,
483290,
483320,
483330,
483340,
483570,
483650,08화학
484790,
484870,12기계·장비
484880,
484890,
485540,
