종목코드,종목명,업종명,시장구분,대표자,현재가,등락률,PBR,PER,ROE,매출액성장률(%),영업이익성장률(%),부채비율(%),유동비율(%),3개월수익률(%),6개월수익률(%),12개월수익률(%),평균거래대금(억원),시가총액,매출액,영업이익,EPS,BPS,상장주수,결산월,설립일,주소,경상이익,3년연속흑자
418420,라온텍,28전기·전자,KOSDAQ,김보은,3305,-5.44,6.03,-15.3,-35.0,-1.76,16.86,150.76,434.21,-57.35,-36.44,-33.23,65.6,1020,89,-70,-216.0,548.0,30774,12.0,20091013.0,경기도 성남시 수정구 창업로 43 판교글로벌비즈센터 6층 B동,-65,False
418470,KT밀리의서재,,KOSDAQ,정재욱,10280,0.39,0.0,0.0,0.0,21.48,30.63,26.64,461.7,-25.13,-26.1,-38.26,5.9,842,0,0,0.0,0.0,8565,12.0,20160712.0,서울특별시 마포구 양화로 45 메세나폴리스 세아타워 16층,0,True
418550,제이오,06일반서비스,KOSDAQ,강득주,3960,-6.38,0.69,-17.0,0.0,-33.42,22.6,21.94,541.39,-69.37,-52.23,-55.05,18.9,1261,72,-20,-233.0,5709.0,32017,12.0,19941128.0,"인천광역시 연수구 송도과학로 56 2214호(송도동, 송도테크노파크비티센터)",-4,False
418620,E8,,KOSDAQ,김진현,692,0.29,0.94,-0.9,-87.0,-27.57,-6.06,76.92,299.6,-50.04,-49.27,-81.64,3.3,136,4,-27,-770.0,735.0,19850,12.0,20120507.0,"서울특별시 송파구 올림픽로 300 25층(신천동, 롯데월드타워)",-28,False
419050,삼기에너지솔루션즈,30운송장비·부품,KOSDAQ,김치환,1262,-7.0,1.12,-8.09,-11.0,4.89,-18.49,134.88,79.74,-30.28,-30.77,-29.69,88.3,786,489,11,-156.0,1122.0,57196,12.0,20201012.0,충청남도 서산시 지곡면 무장산업로 263-29,5,True
419080,엔젯,27기계·장비,KOSDAQ,변도영,4700,1.4,1.36,-6.89,-20.0,-13.5,4.93,26.17,1966.48,-19.52,-45.16,-31.88,4.7,417,44,-14,-682.0,3449.0,10871,12.0,20090909.0,경기도 수원시 권선구 산업로92번길 45 &nbsp,-11,False
419120,산돌,,KOSDAQ,윤영호 (단독대표),2255,-3.84,0.56,9.51,5.0,14.15,13.76,16.3,272.57,-45.73,-44.04,-74.33,1.5,337,53,17,237.0,4008.0,14223,12.0,20181029.0,서울특별시 성동구 아차산로17길 49 601-612호,11,True
419530,SAMG엔터,15오락·문화,KOSDAQ,김수훈,32200,-0.31,3.65,9.74,50.0,22.17,1185.15,48.05,297.01,-18.38,-14.02,-56.19,32.9,2924,377,39,3306.0,8830.0,10207,12.0,20000726.0,서울특별시 강남구 테헤란로 325 8층,44,False
419540,비스토스,29의료·정밀기기,KOSDAQ,이선종,2685,-7.73,3.16,72.57,4.0,-15.58,-451.8,15.63,534.24,-37.19,-54.45,-62.47,2.0,171,203,3,37.0,851.0,5958,12.0,20010827.0,경기도 성남시 중원구 갈마치로 302 우림라이온스빌딩5차 A동 7층,10,False
420570,제이투케이바이오,23화학,KOSDAQ,이재섭,9120,2.01,1.58,19.87,12.0,-0.51,-8.2,10.41,864.45,6.42,9.75,-9.61,12.8,506,111,19,459.0,5775.0,5847,12.0,20161227.0,충청북도 청주시 청원구  오창읍 두릉유리로 50-3,19,True
420770,기가비스,27기계·장비,KOSDAQ,강해철,113200,-12.99,6.8,92.86,0.0,100.15,770.71,13.4,2260.42,12.97,131.49,360.16,214.7,18075,60,-10,1219.0,16646.0,12675,12.0,20040218.0,경기도 평택시 진위면 진위산단로 53-86,8,False
424760,벨로크,,KOSDAQ,이정현,2160,1.89,1.72,-35.41,-5.0,14.63,144.65,30.15,283.1,-42.78,-8.16,19.87,5.6,178,309,-20,-61.0,1256.0,10054,12.0,20220317.0,울산광역시 중구 종가8길 45 (복산동),-20,False
424870,이뮨온시아,06일반서비스,KOSDAQ,김흥태,2850,-2.73,0.0,0.0,0.0,-83.01,-122.28,16.65,622.32,-60.53,-72.79,-46.91,20.0,2578,0,0,0.0,0.0,91272,12.0,20160901.0,경기도 용인시 기흥구 탑실로35번길 25,0,False
