종목코드,종목명,재무제표종류,유동자산_2025,유동자산_2024,유동부채_2025,유동부채_2024,부채총계_2025,부채총계_2024,자본총계_2025,자본총계_2024,매출액_2025,매출액_2024,영업이익_2025,영업이익_2024,당기순이익_2025,당기순이익_2024
036930,주성엔지니어링,CFS,246007880650.0,398129947454.0,68048964888.0,191704927851.0,297436347858.0,420234495676.0,590456566398.0,566590299600.0,310692584812.0,409393371588.0,31257811742.0,97196211588.0,35693416702.0,106814110967.0
037030,파워넷,CFS,204732476478.0,195014256781.0,223310245801.0,86442778017.0,249310585867.0,226628062624.0,334503382800.0,304155286145.0,447036915403.0,322684545519.0,24607601581.0,13304929564.0,21335464443.0,20817700361.0
037070,파세코,CFS,57851831473.0,67041623201.0,20850444143.0,33148532234.0,25179385119.0,37269092942.0,85586759952.0,82920809493.0,167909772380.0,157757027360.0,3300899727.0,-16805960197.0,3701214003.0,-16777211028.0
037230,한국팩키지,CFS,63420120249.0,68520695124.0,90692030284.0,103361846149.0,107540492966.0,118744684966.0,111884714485.0,107632455374.0,224078895876.0,225600709096.0,9944566716.0,6793927118.0,5691742442.0,1242963263.0
037330,인지디스플레,CFS,152702951065.0,163578861291.0,253518654199.0,267805632921.0,268755952380.0,282546920953.0,213421934141.0,201666714763.0,721813553316.0,732669239767.0,17103063887.0,10929198494.0,9748402010.0,-1264609446.0
037350,성도이엔지,CFS,300755808565.0,356699129408.0,291834227747.0,349395642868.0,327841617842.0,423656611377.0,274045024321.0,242433814116.0,743406393090.0,999611416620.0,57697884783.0,27296131094.0,28154275616.0,15309069796.0
037370,EG,CFS,13626749927.0,17971347740.0,114725991103.0,111685961637.0,128430847610.0,125171960584.0,23166205179.0,26779987984.0,62750627943.0,65213324318.0,-2165701772.0,-5466140843.0,-7676978839.0,-6749248974.0
037400,우리엔터프라이즈,CFS,582558123260.0,417753717379.0,460867648054.0,289987327236.0,527326982691.0,365329396681.0,331123933095.0,339656113215.0,1065217107540.0,1259137007585.0,1140597031.0,16246727596.0,-10226221939.0,8781843817.0
037440,희림,CFS,141154003540.0,152705728755.0,113869493451.0,112429936320.0,124305551829.0,126168801730.0,87492992013.0,82129572177.0,231872921949.0,240961112012.0,9141380776.0,15279029083.0,7815926548.0,13428368271.0
037460,삼지전자,CFS,1531819853187.0,935677556618.0,1052761112122.0,512391956807.0,1080905845802.0,561651096262.0,744671855207.0,640230666587.0,4291096557599.0,3359681220937.0,162447915281.0,115613198250.0,118349095866.0,94101246232.0
037760,쎄니트,CFS,88176018453.0,90766977664.0,77369708895.0,82781742986.0,124739376485.0,100924174709.0,97853173944.0,100002060924.0,126987862521.0,132439879532.0,-1083487980.0,3260971781.0,-5912613979.0,-735941642.0
037950,엘컴텍,CFS,24520229311.0,33003978222.0,10223553092.0,8738304226.0,12725765691.0,10698031336.0,74596055967.0,72515491814.0,46291152553.0,57384537439.0,2217156372.0,3555446608.0,1964475179.0,4539527002.0
038010,제일테크노스,CFS,81902846414.0,75438760114.0,23669083132.0,32539169454.0,36978482744.0,44757110209.0,142536370399.0,132702407274.0,133579370211.0,183926463645.0,7141802513.0,20689010701.0,10221141565.0,20975529937.0
038060,루멘스,CFS,123727203549.0,130776277257.0,40325839976.0,46748544860.0,50173363972.0,56878008806.0,105936884258.0,111439312894.0,175538081725.0,174227991930.0,-5026078971.0,-1620317061.0,-6651372956.0,8836564928.0
038070,서린바이오,CFS,72035101207.0,59841242923.0,31669074374.0,13634433460.0,32746261160.0,14652341210.0,86051686774.0,86872474357.0,77091299573.0,75410358630.0,691623464.0,952670448.0,573749467.0,3140248205.0
038110,에코플라스틱,CFS,617817518000.0,506510090000.0,938748664000.0,784552028000.0,1337220609000.0,1078900161000.0,359728114000.0,228274584000.0,2562025593000.0,2255119700000.0,35744891000.0,32889283000.0,1990934000.0,13213450000.0
038290,마크로젠,CFS,124704177496.0,112080621589.0,151586795187.0,126077025137.0,179316838104.0,152232735586.0,172307748915.0,177427276009.0,195267890603.0,135776658229.0,181079257.0,-6464344515.0,-201666165.0,-7783573850.0
038390,레드캡투어,CFS,113306730036.0,112724761578.0,279190142065.0,276070086196.0,509024748298.0,481558032420.0,201266769061.0,215676545461.0,365552937696.0,358876963707.0,46775282613.0,43565664081.0,23682586713.0,20249615765.0
038460,바이오스마트,CFS,154229248540.0,133746085814.0,90235706337.0,79267027936.0,122224107708.0,106394119610.0,187656992454.0,156448510624.0,482775592982.0,484309653002.0,22569241564.0,20235103005.0,8986071392.0,1055302880.0
038500,삼표시멘트,CFS,312899297338.0,317873666526.0,343558672864.0,311290002411.0,660466231983.0,728853926996.0,786264967445.0,756213299450.0,676926715424.0,790786523331.0,76583468141.0,103930124574.0,40803560450.0,66099929851.0
038530,케이바이오랩스,CFS,84351870043.0,70637662380.0,16219965872.0,9607701750.0,16561126185.0,10066647940.0,102280756125.0,107082344005.0,87311777137.0,76514272757.0,1522466847.0,793171265.0,-5043404526.0,-9993359328.0
038540,상상인,CFS,3345777455344.0,2994115237374.0,3381209141090.0,2750767547632.0,4050693034415.0,4533973404307.0,467091038462.0,570267727110.0,418561194722.0,588250647629.0,-48213058666.0,-76414522568.0,-123083856988.0,-215053660216.0
038620,위즈코프,CFS,37613859279.0,29496993229.0,7710356203.0,12645414675.0,18350123946.0,22271369627.0,97617482822.0,89353477095.0,112636294223.0,104651520953.0,2490161826.0,2790810913.0,4669088030.0,1086244963.0
038680,에스넷,CFS,200028368821.0,203030973669.0,129158403296.0,141754522845.0,135130926049.0,148705417328.0,116250047762.0,111323900915.0,457407231243.0,449926579298.0,10660299090.0,10655980861.0,5026623942.0,6663894423.0
038870,에코심플렉스,CFS,10332944490.0,7446162260.0,14259227074.0,20890188568.0,33877770445.0,37285564095.0,73756293329.0,81060659709.0,17239542508.0,18020084141.0,-2661274618.0,-2361295773.0,-7304588156.0,-5464340440.0
038880,아이에이,CFS,19234383817.0,24699556776.0,43563527350.0,51127730683.0,46915584123.0,65092484390.0,58900564830.0,79314068509.0,41182705121.0,50722605792.0,-7318500845.0,-6441112791.0,-44538846085.0,-26030752034.0
038950,파인디지털,CFS,78406168087.0,81914080050.0,4847726985.0,6515195356.0,8340267107.0,11025018903.0,95052431957.0,96542256056.0,62850108669.0,70801421344.0,-4583231436.0,-4578073462.0,-1215379073.0,-1590396936.0
039010,현대에이치티,CFS,91470721511.0,89089012732.0,33801037566.0,38886341332.0,35120777972.0,39759697355.0,106825759600.0,99707900228.0,153333115485.0,168906637340.0,7014916588.0,11055985739.0,10623056170.0,13933553612.0
039020,이건홀딩스,CFS,155998442114.0,183231225752.0,224846267810.0,296850715220.0,375638601706.0,420866008971.0,358775219214.0,365048917851.0,447114517033.0,497372679636.0,-1242672630.0,6560017886.0,-11321473587.0,-16095775861.0
