종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월
006880,신송홀딩스,KOSPI,456,27,34,5.1,558,11828,12.0
006890,태경케미컬,KOSPI,140,-7,20,4.92,626,11600,12.0
006980,우성,KOSPI,1486,12,-37,4.32,488,3090,12.0
007070,GS리테일,KOSPI,28549,583,592,2.48,21528,83607,12.0
007110,일신석재,KOSPI,787,38,22,2.45,618,77456,12.0
007120,미래아이앤지,KOSPI,117,20,-61,-14.73,306,27323,12.0
007160,사조산업,KOSPI,1433,47,-39,-8.18,2295,5000,12.0
007210,벽산,KOSPI,1392,47,21,8.91,977,65360,12.0
007280,한국특강,KOSPI,7688,106,-20,-1.3,542,28646,12.0
007310,오뚜기,KOSPI,9552,594,493,3.47,12263,4007,12.0
007340,DN오토모티브,KOSPI,10177,1446,1421,14.85,21356,58510,12.0
007460,에이프로젠,KOSPI,363,-206,-283,-50.63,513,23594,12.0
007540,샘표,KOSPI,1035,66,95,6.33,1207,2875,12.0
007570,일양약품,KOSPI,651,-74,179,8.19,1500,19085,12.0
007575,일양약품우,KOSPI,0,0,0,0.0,31,445,12.0
007590,동방아그로,KOSPI,1044,172,168,4.03,762,13617,12.0
007610,선도전기,KOSPI,51,-5,-9,23.73,788,18000,12.0
007660,이수페타시스,KOSPI,3403,672,645,29.95,65040,73409,12.0
007690,국도화학,KOSPI,4139,103,36,2.07,3597,9260,12.0
007700,F&F홀딩스,KOSPI,5609,1457,2354,7.17,5401,39114,12.0
007810,코리아써키트,KOSPI,4199,264,370,16.92,15828,23982,12.0
007815,코리아써우,KOSPI,0,0,0,0.0,487,2964,12.0
00781K,코리아써키트2우B,KOSPI,0,0,0,0.0,109,783,12.0
007860,서연,KOSPI,12839,525,766,8.19,1714,23479,12.0
007980,TP,KOSPI,2489,147,148,15.52,785,46897,12.0
008040,사조동아원,KOSPI,6781,500,341,9.45,1112,141144,12.0
008060,대덕,KOSPI,4426,533,669,3.54,4558,31287,12.0
00806K,대덕1우,KOSPI,0,0,0,0.0,130,1212,12.0
008250,이건산업,KOSPI,651,11,1,-6.9,317,10952,12.0
008260,NI스틸,KOSPI,2753,371,331,10.53,870,28600,12.0
008350,남선알미늄,KOSPI,631,-17,-15,-1.36,1379,129079,12.0
008355,남선알미우,KOSPI,0,0,0,0.0,21,307,12.0
008420,문배철강,KOSPI,1402,-21,59,3.58,419,20503,12.0
008490,서흥,KOSPI,2016,212,199,10.29,2429,11569,12.0
008600,윌비스,KOSPI,448,-33,-67,-61.64,176,6723,12.0
008700,아남전자,KOSPI,286,-44,-46,-0.54,805,77124,12.0
008730,율촌화학,KOSPI,1272,6,19,-1.02,3181,24800,12.0
008770,호텔신라,KOSPI,10535,204,120,-13.43,17936,39248,12.0
008775,호텔신라우,KOSPI,0,0,0,0.0,222,751,12.0
008870,금비,KOSPI,1165,5,16,1.26,393,1000,9.0
