종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월,현재가,PER,PBR,EPS,BPS,등락률
005180,빙그레,KOSPI,3124,138,140,7.68,5932,9269,12.0,67700.0,11.76,0.8,5757.0,84119.0,1.65
005250,녹십자홀딩스,KOSPI,5348,31,-173,-9.81,4336,47028,12.0,9620.0,-6.86,0.49,-1403.0,19826.0,0.84
005257,녹십자홀딩스2우,KOSPI,0,0,0,0.0,132,845,12.0,15710.0,0.0,0.0,0.0,0.0,1.22
005300,롯데칠성,KOSPI,9525,478,342,4.31,8981,9278,12.0,101000.0,21.5,0.67,4697.0,151359.0,1.0
005305,롯데칠성우,KOSPI,0,0,0,0.0,514,775,12.0,69000.0,0.0,0.0,0.0,0.0,1.92
005320,온타이드,KOSPI,567,-55,-52,-14.84,283,34187,12.0,776.0,-2.76,0.28,-281.0,2778.0,-3.0
005360,모나미,KOSPI,328,-27,-31,-13.12,494,18897,12.0,1771.0,-3.17,0.41,-559.0,4286.0,0.91
005380,현대차,KOSPI,459389,25147,35215,7.5,816983,204757,12.0,397500.0,11.25,0.9,35331.0,439541.0,-0.87
005385,현대차우,KOSPI,0,0,0,0.0,44301,23340,12.0,192500.0,0.0,0.0,0.0,0.0,-1.99
005387,현대차2우B,KOSPI,0,0,0,0.0,66326,34963,12.0,192600.0,0.0,0.0,0.0,0.0,-1.78
005389,현대차3우B,KOSPI,0,0,0,0.0,4324,2327,12.0,188800.0,0.0,0.0,0.0,0.0,-0.94
005420,코스모화학,KOSPI,1835,60,-12,-11.24,3368,38408,12.0,9100.0,-11.52,1.59,-790.0,5730.0,-1.09
005430,한국공항,KOSPI,1780,197,192,11.29,2510,3166,12.0,80000.0,6.25,0.6,12805.0,132482.0,1.27
005440,현대지에프홀딩스,KOSPI,20837,1176,1862,8.69,23456,183397,12.0,12090.0,4.57,0.47,2643.0,25658.0,-1.31
005490,POSCO홀딩스,KOSPI,178761,7068,7566,1.46,240101,79241,12.0,316000.0,39.08,0.43,8085.0,736969.0,0.96
005500,삼진제약,KOSPI,0,0,0,0.0,2364,13320,12.0,17860.0,0.0,0.0,0.0,0.0,-0.06
