종목코드,3개월수익률(%),6개월수익률(%),12개월수익률(%),평균거래대금(억원)
016880,-23.43,-7.56,-23.84,8.3
017040,0.0,-36.81,-16.26,0.0
017180,-32.03,-32.6,-26.28,5.8
017370,-34.31,-35.97,-48.73,2.0
017390,-11.76,-14.88,-11.9,3.7
017550,-51.93,-9.27,-13.82,72.3
017670,0.0,59.49,80.18,1483.0
017800,-27.83,-25.75,-15.14,168.2
017810,-26.47,-31.98,-35.35,5.0
017860,-54.76,-39.04,-55.77,23.1
017900,-43.95,202.39,199.84,469.5
017940,-7.53,10.13,8.86,11.9
017960,-53.35,-32.19,-13.19,134.3
018250,-26.0,-11.29,-31.11,6.9
018260,23.38,20.06,31.27,1485.3
018470,-48.56,-27.58,-40.22,23.2
018500,-20.78,-20.23,-6.17,3.6
018670,-1.73,10.37,-4.84,43.7
018880,-16.43,4.28,15.26,1174.4
019170,-31.98,-38.08,-38.03,16.7
019175,-36.81,-36.94,-50.33,0.6
019180,-21.8,-23.97,97.59,30.8
019490,0.0,0.0,-13.58,0.0
019680,-41.34,-46.32,-61.59,1.1
019685,-32.7,-39.76,-45.44,0.3
020000,-20.31,32.73,23.13,28.3
020120,-9.59,9.95,-4.59,4.4
020150,-55.73,-22.49,19.64,176.3
020560,-3.93,-11.27,-28.65,15.6
020760,0.0,0.0,2.5,0.0
021050,-30.28,-17.24,-25.57,14.5
021240,6.87,18.6,-14.45,232.0
021820,-33.71,-19.95,-7.02,2.0
022100,-44.8,-51.49,-25.54,196.6
023000,-8.77,-8.77,-14.65,0.8
023150,-14.66,-11.58,-26.72,0.9
023350,-22.35,-11.45,-20.23,2.9
023450,-5.9,-10.31,-11.28,0.6
023530,-5.34,59.57,74.14,275.9
023590,-18.9,-6.47,8.32,26.3
023800,-28.27,-23.99,-9.27,5.3
023810,-43.43,-51.51,-22.05,3.0
023960,-28.52,-30.84,-21.88,2.0
024070,-15.29,5.61,-1.0,2.5
024090,-13.03,-9.95,-19.43,0.8
024110,-4.47,1.43,7.56,292.1
024720,-13.23,-11.63,-39.1,5.7
024890,-35.54,-33.49,-35.54,2.9
024900,-22.18,-19.78,-29.02,3.0
025000,-4.89,5.76,-0.7,2.4
025530,-6.98,-5.61,-6.49,0.7
025540,-26.11,-16.2,-2.32,17.6
025560,150.45,226.17,316.25,88.4
025620,-52.05,-59.7,-40.82,4.2
025750,-29.31,-37.44,-48.16,1.0
025820,-25.51,-28.56,-23.52,51.0
025860,-34.8,-12.56,-18.34,94.9
025890,7.69,23.96,18.39,0.7
026890,-19.9,-29.32,-22.44,8.0
026940,-26.23,-4.4,-18.03,75.3
026960,-1.69,-0.38,-15.53,24.9
027410,-20.68,0.76,-2.44,8.6
027740,-40.19,-34.97,-46.04,5.5
027970,-31.89,-32.15,-36.11,1.1
028050,-9.33,76.3,96.29,1265.2
028100,-9.69,-5.15,-1.76,6.7
028260,9.79,11.95,102.85,3010.7
02826K,2.24,7.78,69.42,35.5
028670,-6.22,19.05,22.93,149.8
029460,-30.23,-5.14,22.03,12.7
029530,-20.41,-13.11,-20.72,4.9
029780,-9.29,-11.59,-7.22,78.8
030000,-3.24,-9.0,-9.65,94.6
030190,-8.89,-14.97,-12.11,14.2
030200,-12.32,-0.18,-3.22,244.1
030210,-20.0,-7.32,-1.01,6.5
030610,-30.57,-14.69,6.59,15.3
030720,-11.66,-3.57,-6.58,4.4
031210,-14.57,-14.06,3.76,23.4
031430,-24.88,-2.54,-7.57,20.0
031440,-25.92,-19.68,-2.43,4.6
031820,-26.83,-7.24,-15.36,7.2
032350,-44.67,-49.15,-31.89,98.2
032560,-14.65,-8.62,-11.67,2.3
032640,-11.2,-3.91,0.48,199.6
032830,30.06,71.8,147.47,1825.5
033240,-48.73,5.92,35.83,77.7
033250,-24.82,-26.52,-33.07,2.6
033270,-14.47,-7.02,-18.65,5.4
033530,-21.89,-42.34,37.24,14.1
033780,3.63,26.02,37.81,547.7
033920,-17.06,-16.22,-6.18,4.7
034020,-43.27,-22.72,9.41,3232.6
034120,-25.7,-38.84,-46.6,2.7
034220,-23.26,-21.79,-2.49,1502.6
034230,-36.76,-41.48,-45.7,102.5
034310,-7.78,-4.95,-9.69,6.6
034590,-2.05,2.53,-0.19,0.6
034730,58.09,112.48,199.29,1865.0
03473K,26.69,64.06,111.9,19.9
034830,-28.61,-6.6,-7.81,7.9
035000,-31.57,-28.52,-24.81,5.2
035150,-22.7,-20.0,-36.06,3.9
035250,-14.69,-18.49,-25.77,98.2
035420,-3.04,-21.99,-11.51,4649.5
035510,-37.16,-30.0,-23.17,29.4
035720,-24.66,-40.66,-35.13,867.1
036420,-73.22,-76.29,-84.15,8.1
036460,-8.98,-14.44,-22.76,78.0
036530,-22.65,-14.77,-14.32,10.3
036570,-15.71,0.44,16.74,355.6
036580,-22.76,4.57,-6.74,3.0
037270,-38.37,-55.34,-62.54,22.5
037560,-32.87,-31.42,-45.61,57.8
037710,-1.7,21.29,14.29,144.4
039130,-28.55,-32.59,-44.73,17.2
039490,-33.59,-13.1,34.76,523.3
039570,-7.19,-4.33,-21.66,1.7
041650,-24.91,-24.11,-29.05,0.8
042660,-34.84,-37.35,-2.33,2180.8
042700,-32.32,16.89,133.37,3563.0
044380,-55.67,-53.17,-59.79,7.4
044450,-21.78,14.72,-3.98,8.4
044820,9.96,52.73,-0.81,10.7
047040,-53.35,195.94,290.31,2328.1
047050,-30.75,-11.06,2.93,344.2
047400,-45.83,-35.04,-41.41,9.4
047810,-7.76,-2.95,70.37,864.3
049800,-38.84,-9.98,-10.12,1.2
051600,-25.83,-18.51,-8.19,80.7
051630,-49.34,-57.07,-44.54,14.0
051900,-1.78,-9.31,-24.01,163.8
051905,-11.3,-11.14,-22.87,7.9
051910,-33.84,-27.65,-15.64,1070.4
051915,-34.99,-31.48,-23.23,51.1
052690,-49.13,-29.42,14.3,225.1
053210,-18.19,-15.47,-18.76,2.2
053690,-36.35,-4.98,-5.96,37.5
055490,-35.05,-12.99,-11.92,11.3
055550,4.4,24.43,46.63,1428.1
057050,9.4,65.65,48.72,12.2
058430,-19.59,6.49,-1.81,122.0
058650,-24.22,-32.93,-11.07,8.2
058730,-1.21,11.87,21.09,236.5
058850,-16.39,-19.39,-16.7,3.8
058860,-11.19,-6.96,-9.77,2.7
060980,-11.6,-17.26,-6.96,13.4
062040,-23.06,18.86,72.7,889.9
063160,-33.03,-37.22,-43.95,9.1
064350,-32.02,-23.66,-19.47,1195.1
064400,-3.3,-12.48,-10.04,1989.7
064960,-25.88,-30.66,-23.62,21.9
066570,32.71,60.23,119.46,6670.5
066575,8.93,16.41,53.65,361.6
